Party,Handicapped-infants,Water-project-cost-sharing,Adoption-of-the-budget-resolution,Physician-fee-freeze,El-salvador-aid,Religious-groups-in-schools,Anti-satellite-test-ban,Aid-to-nicaraguan-contras,MX-missile,Immigration,Synfuels-corporation-cutback,Education-spending,Superfund-right-to-sue,Crime,Duty-free-exports,Export-administration-act-south-africa
demo,,y,y,n,y,y,y,y,n,n,y,n,y,,y,y
Democrat,,n,y,n,n,y,y,y,y,n,y,n,n,,y,y
Democrat,,y,y,n,n,y,y,y,y,n,y,n,n,,y,y
demo,,y,y,n,n,?,y,y,y,y,y,n,?,,y,y
Democrat,,n,y,n,n,n,y,y,n,y,y,n,n,,y,?
demo,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
Republican,,n,n,y,y,y,y,y,n,y,n,y,y,,n,y
,,,,,,,,,,,,,,,,
demo,,n,y,n,?,n,y,y,y,y,n,y,n,,y,y
REP,,n,y,y,y,y,n,n,y,y,n,y,y,,n,y
,,,,,,,,,,,,,,,,
Republican,,?,n,y,y,y,n,n,n,n,y,y,y,,n,y
REP,,n,n,y,y,y,?,?,?,?,n,y,y,,n,y
REP,,y,n,y,y,y,n,n,n,y,n,y,y,,?,n
demo,,n,y,n,n,n,y,y,y,y,n,n,n,,n,y
DEM,,y,y,n,y,y,n,n,n,y,y,n,y,,n,y
Republican,-999.0,?,n,y,y,y,n,n,n,y,n,y,y,,n,n
REP,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
REP,,y,n,y,y,y,n,n,n,n,y,y,y,,n,n
REP,,y,n,y,y,y,n,n,n,n,n,y,y,,n,y
demo,,n,y,n,n,y,y,y,y,y,n,?,n,,n,y
Republican,,n,n,y,y,y,n,n,n,y,n,y,y,,n,y
Democrat,,y,n,n,y,y,n,n,n,y,y,n,y,,n,n
repub,,y,n,y,y,y,n,n,n,y,y,y,y,,n,n
REP,,n,n,y,y,y,n,n,n,n,n,y,y,,n,y
DEM,,y,y,y,y,y,n,n,n,y,y,n,y,,n,n
DEM,,n,y,n,n,n,y,y,y,y,n,n,n,,y,y
Republican,,?,?,?,n,y,n,y,y,n,n,y,y,,n,?
repub,,n,n,y,y,y,n,n,n,y,n,y,y,,n,?
demo,,y,y,n,y,y,n,n,n,y,y,y,y,,n,?
Republican,,n,y,y,y,y,n,n,y,y,n,y,y,,n,y
Democrat,,n,y,n,y,y,n,n,n,n,n,n,n,,n,y
Republican,-999.0,n,y,y,y,n,y,n,y,y,n,n,y,,n,y
DEM,-999.0,y,y,n,n,n,y,y,y,y,y,n,y,,n,y
Democrat,,y,y,n,n,n,y,y,y,n,n,n,n,,?,?
DEM,,y,y,n,y,y,n,y,n,n,y,n,y,,y,y
